icao,iata,name,callsign,country,active
HMX,"",Hawk De Mexico,HAWK MEXICO,Mexico,N
HRZ,"",Croatian Air Force,CROATIAN AIRFORCE,Croatia,N
HSI,"",Heliswiss,HELISWISS,Switzerland,N
HSK,"",Sky Europe Airlines,MATRA,Slovakia,Y
HTA,"",Helitrans,SCANBIRD,Norway,N
HTC,"",Haiti Trans Air,HAITI TRANSAIR,Haiti,N
HUD,"",Horizons Unlimited,HUD,United States,N
HVY,HN,Heavylift Cargo Airlines,HEAVY CARGO,Australia,N
HXA,"",China Express Airlines,CHINA EXPRESS,China,N
HYR,"",Airlink Airways,HIGHFLYER,Ireland,N
IBU,I9,Indigo,INDIGO BLUE,United States,Y
ICM,"",Air Inter Cameroun,INTER-CAMEROUN,Cameroon,N
IFC,"",Indian Air Force,INDIAN AIRFORCE,India,N
ILW,IL,Illinois Airways,"",United States,N
IPM,"",IPM Europe,SHIPEX,United Kingdom,N
IRI,"",Navid,NAVID,Iran,N
ISF,"",International Sabilisation Assistance Force,"",United Kingdom,N
ISV,WC,Islena De Inversiones,"",Honduras,Y
ITE,"",Aerotaxi,AEROTAXI,Czech Republic,N
ITK,ID,Interlink Airlines,INTERLINK,South Africa,Y
IXO,"",OCEAN AIR CARGO,"",India,Y
JAD,"",Aerojal,AEROJAL,Mexico,N
JAS,JD,Japan Air System,Air System,Japan,Y
JCH,"",Trading Air Cargo,TRADING CARGO,Mauritania,N
JCM,"",Secure Air Charter,SECUREAIR,United States,N
JCS,0J,Jetclub,JETCLUB,Switzerland,N
JEF,"",Jetflite,JETFLITE,Finland,Y
JLJ,"",J-Air,J AIR,Japan,N
JOS,L3,DHL de Guatemala,"",Guatemala,N
JPA,"",OSACOM,J-PAT,United States,N
JSV,"",Japan Aircraft Service,"",Japan,N
KAR,"",Kar-Air,"",Finland,N
KHC,"",Kitty Hawk Airways,CARGO HAWK,United States,N
KHK,KH,Kharkiv Airlines,"",Ukraine,Y
KHO,"",Khors Aircompany,AIRCOMPANY KHORS,Ukraine,N
KLH,"",KLM Helicopter,KLM HELI,Netherlands,N
KLS,"",Kal Star Aviation,"",Indonesia,Y
KLX,"",Kelix Air,KELIX,Nigeria,N
KMI,"",K-Mile Air,KAY-MILE AIR,Thailand,N
KTB,"",Transaviabaltika,TRANSBALTIKA,Lithuania,N
KUH,"",Kush Air,"",South Sudan,Y
LAT,"",Lebanese Air Transport (Charter),LEBANESE AIR,Lebanon,N
LBH,"",Laker Airways (Bahamas),LAKER BAHAMAS,United States,N
LFR,"",Atlantic Airfreight Aviation,LANFREIGHT,Sao Tome and Principe,N
LIO,"",LÍO Flugmennt,"",Iceland,N
LML,"",Alamia Air,ALAMIA AIR,Libya,N
LMR,"",Lamra,LAMAIR,Sudan,N
LRD,"",Laredo Air,LAREDO AIR,United States,N
LSA,"",LANSA,INTERNACIONAL,Dominican Republic,N
LTL,"",Benin Littoral Airways,LITTORAL,Benin,N
LYC,L2,Lynden Air Cargo,LYNDEN,United States,N
LYD,"",Lydd Air,LYDDAIR,United Kingdom,N
LYT,"",Apatas Air,APATAS,Lithuania,N
LYW,"",Libyan Airlines,LIBYAN AIRWAYS,Libya,N
M1F,M1,Maryland Air,Maryland Flight,United States,Y
MAM,"",Aerodromo De La Mancha,AEROMAN,Spain,N
MAU,MK,Air Mauritius,AIRMAURITIUS,Mauritius,Y
MCN,"",Mac Dan Aviation Corporation,MAC DAN,United States,N
MCX,"",Cargo Express,MAURICARGO,Mauritania,N
MHU,"",Air Memphis,MEPHIS UGANDA,Uganda,N
MJM,"",Eti 2000,ELCO ETI,Italy,N
MJT,"",Mex-Jet,MEJETS,Mexico,N
MKD,6F,MAT Airways,"",Macedonia,Y
MMS,"",SAAD (A320) Limited,MUSAAD AIR,Cayman Islands,N
MNB,MB,MNG Airlines,BLACK SEA,Turkey,Y
MPE,5T,Canadian North,EMPRESS,Canada,Y
MTH,"",Massachusetts Institute of Technology,RESEARCH,United States,N
MTS,"",Mantrust Asahi Airways,MANTRUST,Indonesia,N
MYA,"",Myflug,MYFLUG,Iceland,Y
NCO,"",Natalco Air Lines,NATALCO,S,N
NGB,NJ,Nordic Global Airlines,Nordic Global,Finland,Y
NHL,"",Northumbria Helicopters,NORTHUMBRIA,United Kingdom,N
NLS,"",Nationale Luchtvaartschool,PANDER,Netherlands,N
NOA,"",Norontair,NORONTAIR,Canada,N
NOH,"",No. 32 (The Royal) Squadron RAF,NORTHOLT,United Kingdom,N
NOL,"",National Overseas Airlines Company,NAT AIRLINE,Egypt,N
NRG,"",Ross Aviation,ENERGY,United States,N
NRN,"",Royal Netherland Navy,NETHERLANDS NAVY,Netherlands,N
NSM,"",Global Jet Corporation,THUNDERCLOUD,United States,N
NTJ,2N,NextJet,NEXTJET,Sweden,Y
NTL,"",Air Anatolia,AIR ANATOLIA,Turkey,N
NVD,"",Nordic Solutions,NORDVIND,Lithuania,N
NVM,"",Naviera Mexicana,NAVIERA,Mexico,N
NVY,"",Royal Navy,NAVY,United Kingdom,N
NWN,"",Northwinds Northern,NORTHWINDS,Canada,N
OMR,"",Minair,ORMINE,Central African Republic,N
OPC,"",Krystel Air Charter,OPTIC,United Kingdom,N
ORA,"",Long Island Airlines,LONG ISLAND,United States,N
ORZ,"",Zorex,ZOREX,Spain,N
PAG,"",Perimeter Aviation,PERIMETER,Canada,N
PAK,"",Pacific Alaska Airlines,PACIFIC ALASKA,United States,N
PCM,"",Westair Industries,PAC VALLEY,United States,N
PGI,"",Panagra Airways,PANAGRA,United States,N
PGP,P9,Perm Airlines,PERM AIR,Russia,N
PHD,"",Duncan Aviation,PANHANDLE,United States,N
PHR,"",Al Farana Airline,PHARAOH,Egypt,N
PIL,"",Canada Jet Charters,PINNACLE,Canada,N
PIX,"",Metropix UK,METROPIX,United Kingdom,N
PJE,"",Private Jet Expeditions,PEE JAY,United States,N
PKA,"",AST Pakistan Airways,PAKISTAN AIRWAY,Pakistan,N
PLC,"",Police Aviation Services,SPECIAL,United Kingdom,N
PLM,"",Air Pullmantur,PULLMANTUR,Spain,N
PRC,"",Pacific Air Charter,PACIFIC CHARTER,United States,N
PST,"",Parsa,TURISMO REGIONAL,Panama,N
PSV,"",Servicios Aereos Profesionales,PROSERVICIOS,Dominican Republic,N
PTD,"",Aero Servicio Pity,PITY,Mexico,N
PUV,"",Publivoo,PUBLIVOO,Portugal,N
PXX,"",Aroostook Aviation,PINE STATE,United States,N
PYN,"",Haverfordwest Air Charter Services,POYSTON,United Kingdom,N
QER,Q3,SOCHI AIR CHATER,russian doll,Russia,Y
QFA,QF,Qantas,QANTAS,Australia,Y
QFZ,"",Fars Air Qeshm,FARS AIR,Iran,Y
RAB,RN,Rainbow Air (RAI),Rainbow,United States,Y
RAX,"",Royal Air Freight,AIR ROYAL,United States,N
RAZ,"",Rijnmond Air Services,RIJNMOND,Netherland,N
RBB,"",Rabbit-Air,RABBIT,Switzerland,N
RBH,"",Regal Bahamas International Airways,CALYPSO,Bahamas,N
REA,RE,Aer Arann,AER ARANN,Ireland,Y
RGA,"",Royal Ghanaian Airlines,ROYAL GHANA,Ghana,N
RLT,"",Reliant Airlines,RELIANT,United States,N
RMG,"",Rumugu Air & Space Nigeria,RUMUGU AIR,Nigeria,N
RMO,"",Arm-Aero,ARM-AERO,Armenia,N
ROV,"",Rover Airways International,ROVERAIR,United States,N
RRS,"",Boscombe Down DERA (Formation),BLACKBOX,United Kingdom,N
RSJ,"",RusJet,"",Russia,Y
RTQ,"",Air Turquoise,TURQUOISE,France,N
RTS,"",Relief Transport Services,RELIEF,United Kingdom,N
RWC,"",Arrow Ecuador Arrowec,ARROWEC,Ecuador,N
SAE,Q4,SOCHI AIR EXPRESS,ADLER EXPRESS,Russia,Y
SAV,"",Samal Air,"",Kazakhstan,N
SCD,"",Associated Aviation,ASSOCIATED,Nigeria,N
SCS,"",South African Non Scheduled Airways,SOUTHERN CHARTERS,South Africa,N
SED,"",Sedona Air Center,SEDONA AIR,United States,N
SEE,"",Shaheen Air Cargo,SHAHEEN CARGO,Pakistan,N
SHE,"",Shell Aircraft,SHELL,United Kingdom,N
SHF,"",Royal Air Force,VORTEX,United Kingdom,N
SIV,"",Slovenian Armed Forces,SLOVENIAN,Slovenia,N
SLH,"",Silverhawk Aviation,SILVERHAWK,United States,N
SLU,"",Avio Sluzba,AVIO SLUZBA,Serbia,N
SMH,"",Smithair,SMITHAIR,United States,N
SMM,"",Summit Airlines,SUMMIT-AIR,United States,N
SND,"",Air Samarkand,ARSAM,Uzbekistan,N
SNF,"",Shans Air,SHANS AIR,Russia,N
SNP,"",Sun Pacific International,SUN PACIFIC,United States,N
SNQ,"",Sun Quest Executive Air Charter,EXECU-QUEST,United States,N
SNT,"",Suncoast Aviation,SUNCOAST,United States,N
SPG,"",Springdale Air Service,SPRING AIR,United States,N
SPP,"",Sapphire Aviation,SAPPHIRE,United States,N
SPX,"",Service People Gesselschaft fur Charter und Service,"",Germany,N
SPY,"",Asian Aerospace Service,THAI SPACE,Thailand,N
SQL,"",Servicos De Alquiler,ALQUILER,Mexico,N
SQR,"",Alsaqer Aviation,ALSAQER AVIATION,Libya,N
SRV,"",Aero Servicio Corporativo,SERVICORP,Mexico,N
SSB,"",Sasair,SASIR,Canada,N
STB,"",Status-Alpha Airline,STATUS-ALPHA,Ukraine,N
STI,"",Sontair,SONTAIR,Canada,N
STO,"",Streamline Ops,SLOPS,Russia,N
SUU,"",Star West Aviation,SUNSTAR,United States,N
SVR,U6,Ural Airlines,SVERDLOVSK AIR,Russia,Y
SVW,"",Global Jet Luxembourg,SILVER ARROWS,Luxembourg,N
SWJ,"",Stateswest Airlines,STATES,United States,N
SXS,XQ,SunExpress,SUNEXPRESS,Turkey,Y
SYG,"",Synergy Aviation,SYNERGY,United Kingdom,N
SYK,"",Satsair,AEROCAB,United States,N
SZZ,"",SUR Lineas Aereas,"",Argentina,Y
TAO,VW,Aeromar,TRANS-AEROMAR,Mexico,Y
TAY,3V,TNT Airways,QUALITY,Belgium,N
TBN,"",Teebah Airlines,TEEBAH,Sierra Leone,N
TBR,"",Tubelair,TUBELAIR,Tunisia,N
TBS,"",Servicios Aereos Tribasa,TRIBASA,Mexico,N
TCA,"",Tropican Air Services,TROPICANA,Egypt,N
TCN,"",Trans Continental Airlines,TRANSCON,United States,N
TDO,"",TRADO,TRADO,Dominican Republic,N
TEM,"",Tech-Mont Helicopter Company,TECHMONT,Slovakia,N
TFT,"",Thai Flying Service,THAI FLYING,Thailand,N
THF,"",Touraine Helicoptere,TOURAINE HELICO,France,N
THI,TI,TransHolding,"",Brazil,Y
THT,TN,Air Tahiti Nui,TAHITI AIRLINES,France,Y
TIE,"",Time Air,TIME AIR,Czech Republic,N
TJS,"",Tyrolean Jet Service,TYROLJET,Austria,N
TMI,"",Tamir Airways,TAMIRWAYS,Israel,N
TOC,"",Aerotropical,TROPICMEX,Mexico,N
TPT,"",Transportes Aereo del Sureste,TASSA,Mexico,N
TRD,"",Trans Island Air,TRANS ISLAND,Barbados,N
TSG,"",Trans-Air-Congo,TRANS-CONGO,Republic of the Congo,N
TSR,"",Trans Service Airlift,TRANS SERVICE,Democratic Republic of Congo,N
TUP,"",Aviastar-Tu,TUPOLEVAIR,Russia,N
TWB,TW,Tway Airlines,TWAY AIR,South Korea,Y
TWO,"",Twente Airlines,COLIBRI,Netherlands,N
TXU,"",ATESA Aerotaxis Ecuatorianos,ATESA,Ecuador,N
UAB,"",United Arabian Airlines,UNITED ARABIAN,Sudan,N
UCK,"",Air Division of the Eastern Kazakhstan Region,GALETA,Kazakhstan,N
UGL,"",Inter-Island Air,UGLY VAN,United States,N
UKI,"",UK International Airlines,KHALIQ,United Kingdom,N
UNC,"",Uni-Fly,UNICOPTER,Denmark,N
URG,3N,Air Urga,URGA,Ukraine,N
URJ,"",Star Air,STARAV,Pakistan,N
URY,"",Century Aviation,CENTURY AVIA,Mexico,N
UZS,"",Samarkand Airways,SOGDIANA,Uzbekistan,N
VAV,"",Angkor Air,AIR ANGKOR,Cambodia,N
VDA,VI,Volga-Dnepr Airlines,VOLGA-DNEPR,Russia,Y
VEC,"",Venescar Internacional,VECAR,Venezuela,N
VEN,"",Transaven,TRANSAVEN AIRLINE,Venezuela,N
VJT,"",Vistajet,VISTA,Canada,N
VLG,VY,Vueling Airlines,VUELING,Spain,Y
VLK,XF,Vladivostok Air,VLADAIR,Russia,Y
VMP,"",Execujet Scandinavia,VAMPIRE,Denmark,N
VTT,"",Avia Trans Air Transport,VIATRANSPORT,Sudan,N
WAC,"",West African Cargo Airlines,WESTAF CARGO,Mauritania,N
WAG,"",Wisconsin Air National Guard,"",United States,N
WEW,"",West Wind Aviation,WESTWIND,Canada,N
WFC,"",Swift Copters,SWIFTCOPTERS,Switzerland,N
WIG,"",Wiggins Airways,WIGGINS AIRWAYS,United States,N
WOA,WO,World Airways,WORLD,United States,Y
WWI,"",Worldwide Jet Charter,WORLDWIDE,United States,N
XEL,"",Excel Charter,HELI EXCEL,United Kingdom,Y
XER,"",Xerox Corporation,XEROX,United States,N
XFX,"",Airways Corporation of New Zealand,AIRCORP,New Zealand,N
XMA,"",Martin Aviation Services,"",United States,N
XME,"",Australian air Express,AUS-CARGO,Australia,N
XMG,"",AMS Group,"",Russia,N
XNV,"",Navinc Airlines Services,"",United States,N
XPS,"",XP Internation,XP PARCEL,Netherlands,N
XWS,"",WSI Corporation,"",United States,N
XXS,"",Skyplan Services,"",Canada,N
4SW,"",TEA Switzerland,"",Switzerland,N
AAF,ZI,Aigle Azur,AIGLE AZUR,France,Y
AAT,"",Austrian Airtransport,"",Austria,N
ABJ,"",Abaet,Abaet,Brazil,N
ABS,9T,Transwest Air,ATHABASKA,Canada,Y
ABW,RU,AirBridge Cargo,AIRBRIDGE CARGO,Russia,N
ACO,"",Aero Comondu,AERO COMONDU,Mexico,N
AFA,"",Alfa Air,BLUE ALFA,Czech Republic,N
AFH,"",Air Fecteau,FECTO,Canada,N
AFV,"",Air Afrique Vacancies,AFRIQUE VACANCE,Ivory Coast,N
AFW,"",Afrique Regional Airways,AFRAIR,Ivory Coast,N
AGF,"",Atlantic Gulf Airlines,ATLANTIC GULF,United States,N
AHA,GD,Air Alpha Greenland,AIR ALPHA,Denmark,N
AHF,"",Aspen Helicopters,ASPEN,United States,N
AI0,PP,Air Indus,AIPL,Pakistan,Y
AIE,"",Air Inuit,AIR INUIT,Canada,N
AIS,"",Air Sureste,SURESTE,Spain,N
AJF,"",Avia Consult Flugbetriebs,AVIACONSULT,Austria,N
AKX,EH,Air Nippon Network Co. Ltd.,ALFA WING,Japan,N
ALC,"",Southern Jersey Airways, Inc.,ACOM,N
AMF,"",Ameriflight,AMFLIGHT,United States,N
ANI,"",Air Atlantic (Nig) Limited,NIGALANTIC,Nigeria,N
ANT,4N,Air North Charter - Canada,AIR NORTH,Canada,Y
ANX,"",Secretaria de Marina,SECRETARIA DEMARINA,Mexico,N
ANZ,NZ,Air New Zealand,NEW ZEALAND,New Zealand,Y
AOC,J6,AVCOM,AERO AVCOM,Russia,N
AOS,"",Servicios Aerecs Del Sol, S.A. de C.V.,AEROSOL,N
APG,"",Air People International,AIR PEOPLE,Thailand,N
APX,"",Apex Air Cargo,PARCEL EXPRESS,United States,N
ARE,4C,Aires, Aerovias de Integracion Regional, S.A.,Y
ARF,GV,Aero Flight,Aero Fox,Germany,Y
ARR,QN,Air Armenia,AIR ARMENIA,Armenia,N
ARW,"",Aria,ARIABIRD,France,N
AUA,OS,Austrian Airlines,AUSTRIAN,Austria,Y
AUN,"",Aviones Unidos,AVIONES UNIDOS,Mexico,N
AUP,"",Avia Business Group,"",Russia,N
AUS,NO,Aus-Air,"",Australia,N
AUU,"",Aurora Aviation, Inc.,AURORA AIR,N
AUX,"",Air Uganda International Ltd.,"",Uganda,N
AUY,"",Aerolineas Uruguayas, S.A.,AUSA,N
AVX,"",Aviapaslauga,PASLAUGA,Lithuania,N
AWC,ZT,Titan Airways,ZAP,United Kingdom,N
AWT,"",Air West,AIR WEST,Canada,N
AXN,"",Alexandair,ALEXANDROS,Greece,N
AYM,"",Airman, S.L.,AIRMAN,N
AZP,"",Arizona Pacific Airways,ARIZONA PACIFIC,United States,N
BAB,"",Bahrain Air BSC (Closed),AWAL,Bahrain,N
BAE,"",BAE Systems,FELIX,United Kingdom,N
BAG,DI,dba,SPEEDWAY,Germany,Y
BAK,"",Blackhawk Airways,BLACKHAWK,United States,N
BDS,"",South Asian Airlines,SOUTH ASIAN,Bangladesh,N
BFO,"",Bombardier,BOMBARDIER,Canada,N
BKR,"",Civil Air Patrol South Carolina Wing,BOX KAR,United States,N
BKV,"",Bukovyna,BUKOVYNA,Ukraine,N
BLA,"",All Charter Limited,ALL CHARTER,United Kingdom,N
BLH,"",Blue Horizon Travel Club,BLUE HORIZON,United States,N
BLI,"",Thyssen Krupp AG,BLUELINE,Germany,N
BLM,"",Blue Airways,BLUE ARMENIA,Armenia,N
BLU,"",IMP Aviation Services,BLUENOSE,Canada,N
BNE,"",Benina Air,BENINA AIR,Libya,N
BSA,BZ,Black Stallion Airways,Stallion,United States,Y
BVC,"",Bulgarian Aeronautical Centre,BULGARIAN WINGS,Bulgaria,N
BVR,"",ACM Air Charter,BAVARIAN,Germany,N
BVT,J8,Berjaya Air,BERJAYA,Malaysia,Y
BWL,"",BWA (2002) Ltd,BRITWORLD,United Kingdom,N
BYA,"",Berry Aviation,BERRY,United States,N
CCC,CB,CCML Airlines,"",Colombia,Y
CEF,"",Czech Air Force,CZECH AIR FORCE,Czech Republic,N
CEG,"",Cega Aviation,CEGA,United Kingdom,N
CGK,"",Click Airways,CLICK AIR,Kyrgyzstan,Y
CHA,"",Central Flying Service,CHARTER CENTRAL,United States,N
CIE,"",Czech Government Flying Service,CZECHIA,Czech Republic,N
CIL,"",Cecil Aviation,CECIL,United Kingdom,N
CIW,"",Civair Airways,CIVFLIGHT,South Africa,N
CJG,"",Zhejiang Airlines,ZHEJIANG,China,N
CKE,"",Corporate Aviation Services,CHECKMATE,United States,N
CLM,"",Cargo Link (Caribbean),CARGO LINK,Barbados,N
CME,"",Prince Edward Air,COMET,Canada,N
CNR,"",Condor Aero Services,CONAERO,United States,N
CNS,"",Centennial Flight Centre,CENTENNIAL,Canada,N
CQC,"",Central Queensland Aviation College,"",Australia,N
CRK,HX,Hong Kong Airlines,BAUHINIA,Hong Kong SAR of China,Y
CSI,"",Central Skyport,SKYPORT,United States,N
CSM,"",Ratkhan Air,LORRY,Kazakhstan,N
CSX,"",Choice Airways,"",United States,Y
CTE,"",Air Tenglong,TENGLONG,China,N
CTK,"",East Midlands Helicopters,COSTOCK,United Kingdom,N
CTY,"",Cryderman Air Service,CENTURY,United States,N
CUB,CU,Cubana de Aviación,CUBANA,Cuba,Y
CUK,"",Polo Aviation,CHUKKA,United Kingdom,N
CVA,CV,Air Chathams,CHATHAM,New Zealand,Y
CWA,W2,Canadian Western Airlines,CANADIAN WESTERN,Canada,N
CWC,WE,Centurion Air Cargo,CHALLENGE CARGO,United States,N
CWK,KR,Comores Airlines,CONTICOM,Comoros,Y
CYO,"",Air Transport,COYOTE,United States,N
DAG,N2,Dagestan Airlines,DAGAL,Russia,N
DAP,"",Aerovias DAP,DAP,Chile,N
DCD,"",Air 26,DUCARD,Angola,Y
DNC,"",Aeroynamics Malaga,FLYINGOLIVE,Spain,N
DNI,"",Servicios Aereos Denim,AERO DENIM,Mexico,N
DNK,"",D&K Aviation,DIRECT JET,United States,N
DNU,"",Danu Oro Transportas,DANU,Lithuania,N
DRT,"",Darta,DARTA,France,N
DTN,"",Data International,DATA AIR,Sudan,N
DUB,"",Dubai Airwing,DUBAI,United Arab Emirates,N
DUK,"",Ducair,LION KING,Luxembourg,N
DVB,"",Don Avia,DONSEBAI,Kazakhstan,N
EAI,"",Elite Air,ELAIR,Togo,N
EAZ,"",Eastern Air,EASAIR,Zambia,N
ECI,"",Eastern Carolina Aviation,EASTERN CAROLINA,United States,N
EDD,"",Lineas Aereas Ejectuivas De Durango,LINEAS DURANGO,Mexico,N
EDI,"",Eastern Atlantic Charters,"",United States,N
EDL,"",Polizeihubschrauberstaffel Bayern,POLICE EDELWEISS,Germany,N
EDO,"",Elidolomiti,ELIDOLOMITI,Italy,N
EEA,EU,Empresa Ecuatoriana De Aviacion,ECUATORIANA,Ecuador,Y
EEZ,"",Eurofly,E-FLY,Italy,N
EGL,"",Capital Trading Aviation,PRESTIGE,United Kingdom,N
EGN,"",Eagle Aviation France,FRENCH EAGLE,France,N
EIX,"",Ei Air Exports,AIR EXPORTS,Ireland,N
EJP,"",Aeroservicios Ejecutivos Corporativos,EJECCORPORATIVOS,Mexico,N
ENI,"",Enimex,ENIMEX,Estonia,N
EOA,"",Elilombarda,LOMBARDA,Italy,N
EPS,"",Epps Air Service,EPPS AIR,United States,N
EQZ,"",Equatair Air Services (Zambia),ZAMBIA CARGO,Zambia,N
ERX,"",Earth Airlines Services,EARTH AIR,Nigeria,N
ESK,NE,SkyEurope,RELAX,Slovakia,Y
ESX,"",Euroskylink,CATFISH,United Kingdom,N
ETP,"",Empire Test Pilots' School,TESTER,United Kingdom,N
EVR,"",Aeronautical Academy of Europe,DIANA,Portugal,N
EXA,MB,Execair Aviation,CANADIAN EXECAIRE,Canada,N
EXB,"",Brazilian Army Aviation,BRAZILIAN ARMY,Brazil,N
FAE,"",Freshaer,WILDGOOSE,United Kingdom,N
FAN,"",AF-Air International,FANBIRD,Angola,N
FBA,"",Fab Air,FAB AIR,Kyrgyzstan,N
FFC,"",Fairoaks Flight Centre,FAIROAKS,United Kingdom,N
FFV,5H,Fly540,SWIFT TANGO,Kenya,Y
FGL,"",Futura Gael,Applewood,Ireland,N
FIC,"",Aerosafin,AEROSAFIN,Mexico,N
FLH,"",Sky Bus,MILE HIGH,United States,N
FLO,"",Flycom,FLYCOM,Slovenia,N
FLT,B5,Flightline,FLIGHTLINE,United Kingdom,Y
FLW,"",FLowair Aviation,QUICKFLOW,France,N
FN1,"",Finlandian,"",Finland,Y
FOF,"",Fred. Olsen,"",Norway,N
FQR,WL,CheapFlyingInternational,cheapflying,France,N
FRD,"",Ford Motor Company,FORD,United States,N
FRQ,"",Afrique Chart'air,CHARTER AFRIQUE,Cameroon,N
FRR,"",Fresh Air,FRESH AIR,Nigeria,N
FRT,"",Aerofreight Airlines,"",Russia,N
FVA,"",Cardinal/Air Virginia,AIR VIRGINIA,United States,N
GAV,"",Granada Aviacion,GRANAVI,Spain,N
GBR,"",Rader Aviation,GREENBRIER AIR,United States,N
GDA,"",GoldAir,AIR PARTNER,United Kingdom,N
GDB,"",Gendarmerie Belge,BELGIAN GENERMERIE,Belgium,N
GEC,LH,Lufthansa Cargo,LUFTHANSA CARGO,Germany,Y
GGZ,"",Global Georgian Airways,GLOBAL GEORGIAN,Georgia,N
GIA,GA,Garuda Indonesia,INDONESIA,Indonesia,Y
GIF,J9,Guinee Airlines,GUINEE AIRLINES,Guinea,N
GNL,"",135 Airways,GENERAL,United States,N
GNS,"",Eastern Executive Air Charter,GENESIS,United Kingdom,N
GOE,"",Go Fly (United Kingdom),Go Flight,United Kingdom,N
GRV,"",Vernicos Aviation,NIGHT RIDER,Greece,N
GUJ,G8,Gujarat Airways,GUJARATAIR,India,N
GVI,"",Air Victoria Georgia,IRINA,Georgia,N
GXL,"",Star XL German Airlines,STARDUST,Germany,N
GZA,"",Excellent Air,EXCELLENT AIR,Germany,N
HAM,2T,Haiti Ambassador Airlines,"",Haiti,Y
HBA,"",Trail Lake Flying Service,HARBOR AIR,United States,N
HDC,"",Helcopteros De Cataluna,HELICATALUNA,Spain,N
HEJ,T4,Hellas Jet,HELLAS JET,Greece,Y
HHH,"",Helicsa,HELICSA,Spain,N
HID,"",Aviacion Ejecutiva De Hildago,EJECUTIVA HIDALGO,Mexico,N
HKE,UO,Hong Kong Express Airways,HONGKONG SHUTTLE,Hong Kong SAR of China,Y
HLK,"",Heli-Link,HELI-LINK,Switzerland,N
HLT,"",Helitafe,HELITAFE,Mexico,N
HMF,"",Norrlandsflyg,LIFEGUARD SWEDEN,Sweden,N
HPY,"",Happy Air,"",Thailand,Y
HUV,"",Hunair Hungarian Airlines,SILVER EAGLE,Hungary,N
HVA,"",Newair,HAVEN-AIR,United States,N
IAD,"",Fly Wex,FLYWEX,Italy,N
ICC,"",Instituto Cartografico de Cataluna,CARTO,Spain,N
ICJ,"",Icejet,ICEJET,Iceland,N
INK,"",Sincom-Avia,SINCOM AVIA,Ukraine,N
ISL,"",Landsflug,ISLANDIA,Iceland,N
ITN,"",Industrias Titan,TITANLUX,Spain,N
ITR,"",Frontier Commuter,OUT BACK,United States,N
IXX,"",Dolphin Express Airlines,ISLAND EXPRESS,United States,N
JAF,JF,Jetairfly,BEAUTY,Belgium,Y
JDG,"",Joanas Avialinijos,LADYBLUE,Lithuania,N
JEK,"",Jet Link,JET OPS,Israel,N
JET,IV,Wind Jet,GHIBLI,Italy,Y
JFU,8J,Jet4You,ARGAN,Morocco,Y
JKY,"",Helicopter & Aviation Services,JOCKEY,United Kingdom,N
JSH,"",Jetstream Air,STREAM-AIR,Hungary,N
JSW,"",Jigsaw Project,JIGSAW,United Kingdom,N
JTN,"",Jettrain Corporation,JETTRAIN,United States,N
JTR,"",Executive Aviation Services,JESTER,United Kingdom,N
KAV,"",Air Kufra,AIRKUFRA,Libya,N
KBR,K7,KoralBlue Airlines,KORAL BLUE,Egypt,Y
KGT,"",Knights Airlines,KNIGHT-LINER,Nigeria,N
KHX,"",Knighthawk Express,RIZZ,United States,N
KLM,KL,KLM Royal Dutch Airlines,KLM,Netherlands,Y
KRA,"",Transcontinental Airlines,REGATA,Kazakhstan,N
KRV,"",Khoriv-Avia,KHORIV-AVIA,Ukraine,N
LAD,"",Lebanon Airport Development Corporation,LADCO-AIR,United States,N
LAJ,KJ,British Mediterranean Airways,BEE MED,United Kingdom,Y
LBQ,"",Quest Diagnostics,LABQUEST,United States,N
LDR,"",Aero Lider,AEROLIDER,Mexico,N
LIR,"",Minsk Aircraft Overhaul Plant,LISLINE,Belarus,N
LKY,"",Air Solutions,LUCKY,United States,N
LLM,YL,Yamal Airlines,YAMAL,Russia,Y
LNC,"",LAN Dominica,LANCANA,Dominican Republic,N
LNK,"",Airlink,LINK,South Africa,N
LPC,"",Alpine Aviation,NETSTAR,South Africa,N
LSR,"",Alsair,ALSAIR,France,N
LTO,L3,LTU Austria,BILLA TRANSPORT,Austria,Y
LTS,"",Flight Inspections and Systems,SPECAIR,Russia,N
LUR,TD,Atlantis European Airways,"",Armenia,Y
LXJ,"",Bombardier Business Jet Solutions,FLEXJET,United States,N
LXP,LU,LAN Express,LANEX,Chile,Y
LYM,"",Key Lime Air,KEY LIME,United States,N
MAS,MH,Malaysia Airlines,MALAYSIAN,Malaysia,Y
MAW,"",Mustique Airways,MUSTIQUE,Barbados,N
MBC,"",Airjet Exploracao Aerea De Carga,MABECO,Angola,N
MDX,"",Aerosud Charter,MEDAIR,South Africa,N
MGG,"",Elmagal Aviation Services,ELMAGAL,Sudan,N
MIM,"",Mimino,MIMINO,Russia,N
MLF,"",Amal Airlines,AMAL,Djibouti,N
MMC,"",Aermarche,AERMARCHE,Italy,N
MNA,MZ,Merpati Nusantara Airlines,MERPATI,Indonesia,Y
MNS,"",Ministic Air,MINISTIC,Canada,N
MQT,"",Air ITM,MUSKETEER,France,N
MSP,"",Servicio De Viglancia Aerea Del Ministerio De Seguridad Publica,SEGURIDAD,Costa Rica,N
MTO,"",Manitoulin Air Services,MANITOULIN,Canada,N
MUA,"",Murray Air,MURRAY AIR,United States,N
MUN,"",Aeromundo Ejecutivo,AEROMUNDO,Mexico,N
